# VSM Evidence Workbench - Normalized Data Export
# Generated: 2026-04-30 20:57:01 UTC
# Source file: C:\Users\Administrator\OneDrive - Gannon University\Spring 2026\Senior Design\RigolDS0.csv
# Samples: 1000000
# CSV mode: preview_downsampled
# Note: Preview CSV downsampled to 50,000 rows for package size; metrics computed on full-resolution data.
# Sample rate: 10000000.0 Hz
#
ts,v_ab,v_an,v_bc,v_bn,v_ca,v_cn
0.00030400000000000565,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.0003060000000000007,-1.7459803,-0.3214723,2.7833690000000004,1.424508,-1.0373887000000002,-1.358861
0.0003080000000000027,-1.8263484,-0.4018404,2.863302,1.424508,-1.0369536,-1.438794
0.0003100000000000047,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.0003119999999999998,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.0003140000000000018,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.0003160000000000038,-1.8263484,-0.4018404,2.943235,1.424508,-1.1168866,-1.518727
0.0003180000000000058,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.00032000000000000084,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.00032200000000000284,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.00032400000000000484,-1.7459803,-0.3214723,2.943235,1.424508,-1.1972547,-1.518727
0.0003259999999999999,-1.7459803,-0.3214723,2.863302,1.424508,-1.1173217,-1.438794
0.0003280000000000019,-1.6668413,-0.3214723,2.784163,1.345369,-1.1173217,-1.438794
0.0003300000000000039,-1.9067165000000001,-0.4822085,2.863302,1.424508,-0.9565854999999999,-1.438794
0.0003320000000000059,-1.9054884,-0.4018404,2.942442,1.503648,-1.0369536,-1.438794
0.00033400000000000096,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.00033600000000000296,-1.9054884,-0.4018404,2.942442,1.503648,-1.0369536,-1.438794
0.00033800000000000496,-1.9833992999999999,-0.3214723,2.940855,1.661927,-0.9574557000000001,-1.278928
0.00034,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.000342000000000002,-1.6643842000000002,-0.1607362,2.942442,1.503648,-1.2780578,-1.438794
0.000344000000000004,-1.6656122,-0.2411042,2.943235,1.424508,-1.2776228,-1.518727
0.000346000000000006,-1.5852442,-0.1607362,2.863302,1.424508,-1.2780578,-1.438794
0.0003480000000000011,-1.7447522000000002,-0.2411042,3.0223750000000003,1.503648,-1.2776228,-1.518727
0.0003500000000000031,-1.7472094,-0.4018404,2.784163,1.345369,-1.0369536,-1.438794
0.0003520000000000051,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.00035400000000000015,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.00035600000000000215,-1.7447522000000002,-0.2411042,2.942442,1.503648,-1.1976898,-1.438794
0.00035800000000000415,-1.8263484,-0.4018404,2.863302,1.424508,-1.0369536,-1.438794
